index,Country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,RANK,Happiness score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
180,Ukraine,206,237,45,8.9,98,5.08,5.19,4.98,1.33,1.41,1.08,0.58,0.47,0.19,0.02
181,United Arab Emirates,16,135,5,2.8,24,6.58,6.66,6.49,1.81,2.0,0.98,0.63,0.7,0.2,0.25
182,United Kingdom,219,126,195,10.4,17,6.94,7.02,6.87,1.97,1.87,1.14,0.75,0.6,0.29,0.33
183,Tanzania,36,6,1,5.7,139,3.7,3.85,3.56,0.74,0.85,0.6,0.43,0.58,0.25,0.27
185,Uruguay,115,35,220,6.6,30,6.47,6.56,6.39,1.97,1.62,1.18,0.67,0.67,0.1,0.27
186,Uzbekistan,25,101,8,2.4,53,6.06,6.18,5.95,1.91,1.22,1.09,0.6,0.72,0.28,0.24
188,Venezuela,333,100,3,7.7,108,4.93,5.05,4.8,2.79,0.0,0.97,0.58,0.28,0.23,0.08
189,Vietnam,111,2,1,2.0,77,5.49,5.57,5.4,1.74,1.25,0.93,0.61,0.71,0.14,0.11
191,Zambia,32,19,4,2.5,137,3.76,3.9,3.62,1.14,0.93,0.58,0.31,0.53,0.2,0.08
192,Zimbabwe,64,18,4,4.7,144,3.0,3.11,2.88,0.55,0.95,0.69,0.27,0.33,0.11,0.11
